# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16i_x4_quad_max_star_16i,-,sweep,skip,no-qa-entry,
volk_16i_x5_add_quad_16i_x4,-,canary,skip,no-qa-entry,
volk_16i_x5_add_quad_16i_x4,-,immutable,skip,no-qa-entry,
volk_16i_x5_add_quad_16i_x4,-,misaligned,skip,no-qa-entry,
volk_16i_x5_add_quad_16i_x4,-,sweep,skip,no-qa-entry,
volk_16ic_convert_32fc,a_avx,canary,ok,,
volk_16ic_convert_32fc,a_avx2,canary,ok,,
volk_16ic_convert_32fc,a_avx512,canary,ok,,
volk_16ic_convert_32fc,a_sse2,canary,ok,,
volk_16ic_convert_32fc,generic,canary,ok,,
volk_16ic_convert_32fc,u_avx,canary,ok,,
volk_16ic_convert_32fc,u_avx2,canary,ok,,
volk_16ic_convert_32fc,u_avx512,canary,ok,,
volk_16ic_convert_32fc,u_sse2,canary,ok,,
volk_16ic_convert_32fc,a_avx,immutable,ok,,
volk_16ic_convert_32fc,a_avx2,immutable,ok,,
volk_16ic_convert_32fc,a_avx512,immutable,ok,,
volk_16ic_convert_32fc,a_sse2,immutable,ok,,
volk_16ic_convert_32fc,generic,immutable,ok,,
volk_16ic_convert_32fc,u_avx,immutable,ok,,
volk_16ic_convert_32fc,u_avx2,immutable,ok,,
volk_16ic_convert_32fc,u_avx512,immutable,ok,,
volk_16ic_convert_32fc,u_sse2,immutable,ok,,
volk_16ic_convert_32fc,a_avx,impl,ok,,0
volk_16ic_convert_32fc,a_avx2,impl,ok,,0
volk_16ic_convert_32fc,a_avx512,impl,ok,,0
volk_16ic_convert_32fc,a_sse2,impl,ok,,0
volk_16ic_convert_32fc,generic,impl,ok,,0
volk_16ic_convert_32fc,u_avx,impl,ok,,0
volk_16ic_convert_32fc,u_avx2,impl,ok,,0
volk_16ic_convert_32fc,u_avx512,impl,ok,,0
volk_16ic_convert_32fc,u_sse2,impl,ok,,0
volk_16ic_convert_32fc,generic,misaligned,ok,,
volk_16ic_convert_32fc,u_avx,misaligned,ok,,
volk_16ic_convert_32fc,u_avx2,misaligned,ok,,
volk_16ic_convert_32fc,u_avx512,misaligned,ok,,
volk_16ic_convert_32fc,u_sse2,misaligned,ok,,
volk_16ic_deinterleave_16i_x2,a_avx2,canary,ok,,
volk_16ic_deinterleave_16i_x2,a_sse2,canary,ok,,
volk_16ic_deinterleave_16i_x2,a_ssse3,canary,ok,,
volk_16ic_deinterleave_16i_x2,generic,canary,ok,,
volk_16ic_deinterleave_16i_x2,u_avx2,canary,ok,,
volk_16ic_deinterleave_16i_x2,u_orc,canary,ok,,
volk_16ic_deinterleave_16i_x2,a_avx2,immutable,ok,,
volk_16ic_deinterleave_16i_x2,a_sse2,immutable,ok,,
volk_16ic_deinterleave_16i_x2,a_ssse3,immutable,ok,,
volk_16ic_deinterleave_16i_x2,generic,immutable,ok,,
volk_16ic_deinterleave_16i_x2,u_avx2,immutable,ok,,
volk_16ic_deinterleave_16i_x2,u_orc,immutable,ok,,
volk_16ic_deinterleave_16i_x2,a_avx2,impl,ok,,0
volk_16ic_deinterleave_16i_x2,a_sse2,impl,ok,,0
volk_16ic_deinterleave_16i_x2,a_ssse3,impl,ok,,0
volk_16ic_deinterleave_16i_x2,generic,impl,ok,,0
